id_obat;nama_obat;kategori_penyakit;indikasi;satuan_tersedia;harga_mulai;harga_detail;aturan_pemakaian;dosis;efek_samping;interaksi_obat;jangka_waktu_penggunaan;komposisi;kontra_indikasi;stok;image
46;Intunal Cair;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;All;27000;All: Rp27.000;Sesudah makan;"Dewasa: 3 x sehari 4 sendok takar 20 ml; Anak-anak 6-12 tahun: 3 x sehari 2 sendok takar 10 ml atau menurut petunjuk dokter";"Mengantuk; gangguan pencernaan; gangguan psikomotor; takikardia; aritmia; mulut kering; palpitasi; retensi urin; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Paracetamol 125 mg; Phenylpropanolamine HCL 3.5 mg; Dexchlorpheniramine maleate 0.5 mg; Dextromethorphan HBr 3.5 mg; Guaifenesin 50 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Intunal%20Cair%20obat%20kemasan
47;Nellco Special;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;Cair 100 Ml, Cair 55 Ml;21500;"Cair 55 Ml: Rp21.500; Cair 100 Ml: Rp34.000";Dikonsumsi sesudah makan. Kocok dahulu sebelum dipakai;"Dewasa dan anak-anak usia diatas 12 tahun: 3 kali sehari 3 sendok takar; Anak-anak usia 6 - 12 tahun: 3 kali sehari 1.5 sendok takar";"kantuk; mual; muntah; sakit kepala; hipertensi";"Kombinasi dengan MAO inhibitor dan menyebabkan peningkatan tekanan darah drastis, memperpanjang masa kerja, dan meningkatkan efek antihistamin; Kolestiramin dapat menurunkan penyerapan paracetamol; Kombinasi metoclopramide dan domperidone dapat meningkatkan toksisitas dari paracetamol; Penggunaan bersama warfarin dapat meningkatkan kadar warfarin; Penggunaan bersama dengan alkohol, antidepresan, dan barbiturate akan memperkuat efek sedatif menimbulkan efek kantuk yang kuat; Glycyrrhizae yang dikombinasikan dengan digoksin dapat meningkatkan toksisitas dari digoksin; Kombinasi dengan furosemide dapat menurunkan kadar kalium";Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Succus Liquiritiae 100 mg; Phenylephrine HCI 5 mg; Paracetamol 135 mg; Ammonium Chloride 40 mg; Chlorphenamine Maleate 1.3 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=Nellco%20Special%20obat%20kemasan
48;OBH Combi Batuk Flu Menthol;Batuk Dan Flu;Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;Cair 100 Ml, Cair 60 Ml;16000;"Cair 60 Ml: Rp16.000; Cair 100 Ml: Rp21.500";Berikan sesudah makan;"Anak usia 6 - 12 tahun: 3 kali sehari 1 sendok takar 5 ml; Dewasa: 3 kali sehari 3 sendok takar 15 ml";"Mengarituk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardia; aritmia; mulut kering; palpitasi; netensi urine; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Succus Liquiritiae 167 mg; Paracetamol 150 mg; Ammonium Chloride 50 mg; Pseudoephedrine HCI 10 mg; Chlorphenamine Maleate 1.33 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat; Penderita dengan gangguan jantung dan diabetes melitus";;https://tse.mm.bing.net/th?q=OBH%20Combi%20Batuk%20Flu%20Menthol%20obat%20kemasan
49;Sanaflu + Batuk;Batuk Dan Flu;Meredakan gejala-gejala flu, demam, sakit kepala, hidung tersumbat;All;14500;All: Rp14.500;Berikan bersama makanan;"Dewasa: 3 kali sehari 1 kaplet; Anak 6-12 tahun: 3 kali sehari 12 kaplet";"Gangguan GI; gangguan psikomotor; takikardi; aritmia; palpitasi; retensi urin; mengantuk; Kerusakan hati dosis besar terapi jangka lama";Obat antidepresan golongan MAOI akan menyebabkan krisis hipertensi bila diberikan secara bersamaan dengan Sanaflu;Dalam jangka panjang penggunaan paracetamol dapat merusak organ hati dan meningkatkan tekanan darah;"Paracetamol 120 mg; Dextromethorphan Hydrobromide 7.5 mg; Phenylpropanolamine Hydrochloride 3.5 mg";"Pasien yang memiliki riwayat hipersensitif terhadap salah satu komponen obat ini; Pasien yang memiliki kepekaan terhadap obat simpatomimetik lain seperti efedrin, pseudoefedrin, fenilefrin juga dikontraindikasikan menggunakan obat ini; Pasien penderita hipertensi parah, penyakit jantung, diabetes mellitus, dan gangguan fungsi hati yang parah tidak boleh menggunakan obat ini; Kontraindikasi juga bagi pasien yang sedang menggunakan obat-obat golongan monoamine oksidase MAO inhibitors, karena bisa meningkatkan tekanan darah";;https://tse.mm.bing.net/th?q=Sanaflu%20%2B%20Batuk%20obat%20kemasan
50;Actifed Plus Cough Suppressant merah;Batuk Dan Pilek;Meringankan pilek dan batuk gatal kering;All;66000;All: Rp66.000;Sebelum atau sesudah makan;"Dewasa dan anak-anak di atas 12 tahun: 1 sendok takar 5 ml, 3 kali sehari; Anak-anak usia 6-12 tahun: 12 sendok takar 2,5 ml, 3 kali sehari";"Mengantuk; sedasi; gugup; insomnia. ins pusing; mulut; hidung; atau tenggorokan kering; gelisah; gangguan pencernaan mual; muntah; ganggunan perhatian dan koordinasi; halusinasi terutama pada anak-anak; gangguan psikomotor; takikardi; aritmia; palpitasi; sulit berkemih; alergi kemerahan pada kulit; kadang-kadang disertai dengan kesulitan bernafas; pembengkakan pada wajah atau tenggorokan. Serotonin syndrome sangat jarang terjadi merasa kebingungan; keletihan; berkeringat; gemetar; menggigil; kontraksi otot tiba-tiba atau peningkatan tekanan darah";"Penggunaan yang bersamaan antara Actifed PLUS Cough Suppressant dengan obat-obat simpatomimetik seperti dekongestan, antidepresan trisiklik, penekan nafsu makan, dan psikostimulan sejenis amphetamine, atau dengan penghambat monoamin oksidase yang mengganggu katabolisme dari simpatomimetik amin, kadang-kadang dapat menyebabkan peningkatan tekanan darah lihat Kontraindikasi; Peringatan dan Perhatian. Karena Actifed PLUS Cough Suppressant mengandung Pseudoephedrine HCI, Actifed PLUS Cough Suppressant dapat memperlemah sebagian daya kerja hipotensif dari obat yang mengganggu aktivitas simpatetik termasuk bretylium, bethanidine bretytium, quanethidine, debrisoquine, methyldopa, dan obat-obat penghambat adrenergik beta dan alpha; Lihat Peringatan dan Perhatian. Antibakteri furazolidone diketahui dapat menyebabkan penghambatan monoamin oksidase yang tergantung dari dosisnya. Meskipun tidak ada laporan mengenai terjadinya krisis hipertensi, sebaiknya furazilidone tidak diberikan bersamaan dengan Actifed PLUS Cough Suppressant; Meskipun tidak ada data yang objektif, penggunaan Actifed PLUS Cough Suppressant bersamaan dengan alkohol atau obat sedatif lainnya yang bekerja pada susunan saraf pusat harur dihindari";;"Triprolidine HCI 1.25 mg; Pseudoephedrine HCI 30 mg; Dextromethorphan HBr 10 mg; Ethanol 9.9 %";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal ephedrine, phenylpropanolamine, phenylephrine, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan. Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala-gejala tidak berkurang, segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar, dan pusing; Penderita dengan gangguan jantung dan diabetes melitus; Jangan digunakan jika Alergi terhadap Triprolidine HCL, Pseudoephedrine HCL, Dextromethorphan Hilir, dan komponen lemnya dalam obat ini; Pasien memiliki gangguan ginjal yang parah; Pasien dengan gangguan ginjal ringan dan sedang harus dengan petunjuk dokter; Pasien menggunakan obat-obatan lain untuk meredakan batuk, pilek dan flu, hidung tersumbat; Pasien menggunakan obat-obat lain seperti antidepresan tsiklik, obat stimulan seperti amphetamine kadang digunakan untuk pengobatan penderita gangguan perhatian atau obat penekan nafsu makan; Pasien sedang mengonsumsi antibiotika seperti furazolidone atau linezolid; Pasien mengalami infeksi pada saluran napas, asma, atau masalah pernapasan lainnya";;https://tse.mm.bing.net/th?q=Actifed%20Plus%20Cough%20Suppressant%20merah%20obat%20kemasan
51;Actifed Plus Expectorant Hijau;Batuk Dan Pilek;Meringankan pilek batuk berdahak;All;66000;All: Rp66.000;Sebelum atau sesudah makan;"Dewasa dan anak-anak di atas 12 tahun: 1 sendok takar 5 ml, 3 kali sehari; Anak-anak usia 6-12 tahun: 12 sendok takar 2,5 ml, 3 kali sehari";"Mengantuk; sedasi; gugup; pusing; mulut; hidung atau tenggorokan kering; gelisah; gangguan pencernaan mual; muntah; gangguan perhatian dan koordinasi; halusinasi terutama pada anak-anak; sakit kepala; insomnia; eksitasi; tremor; takikardi; aritmia; palpitasi; sulit berkemih; alergi kemerahan pada kulit; kadang-kadang disertai dengan kesulitan bernafas; pembengkakan wajah atau tenggorokan";"Penggunaan yang bersamaan antara Actifed PLUS Cough Suppressant dengan obat-obat simpatomimetik seperti dekongestan, antidepresan trisiklik, penekan nafsu makan, dan psikostimulan sejenis amphetamine, atau dengan penghambat monoamin oksidase yang mengganggu katabolisme dari simpatomimetik amin, kadang-kadang dapat menyebabkan peningkatan tekanan darah lihat Kontraindikasi; Peringatan dan Perhatian. Karena Actifed PLUS Cough Suppressant mengandung Pseudoephedrine HCI, Actifed PLUS Cough Suppressant dapat memperlemah sebagian daya kerja hipotensif dari obat yang mengganggu aktivitas simpatetik termasuk bretylium, bethanidine bretytium, quanethidine, debrisoquine, methyldopa, dan obat-obat penghambat adrenergik beta dan alpha; Lihat Peringatan dan Perhatian. Antibakteri furazolidone diketahui dapat menyebabkan penghambatan monoamin oksidase yang tergantung dari dosisnya. Meskipun tidak ada laporan mengenai terjadinya krisis hipertensi, sebaiknya furazilidone tidak diberikan bersamaan dengan Actifed PLUS Cough Suppressant; Meskipun tidak ada data yang objektif, penggunaan Actifed PLUS Cough Suppressant bersamaan dengan alkohol atau obat sedatif lainnya yang bekerja pada susunan saraf pusat harur dihindari";;;"Jangan digunakan jika Alergi terhadap Triprolidine HCL, Pseudoephedrine HCL, Dextromethorphan Hilir, dan komponen lemnya dalam obat ini; Pasien memiliki gangguan ginjal yang parah; Pasien dengan gangguan ginjal ringan dan sedang harus dengan petunjuk dokter; Pasien menggunakan obat-obatan lain untuk meredakan batuk, pilek dan flu, hidung tersumbat; Pasien menggunakan obat-obat lain seperti antidepresan tsiklik, obat stimulan seperti amphetamine kadang digunakan untuk pengobatan penderita gangguan perhatian atau obat penekan nafsu makan; Pasien sedang mengonsumsi antibiotika seperti furazolidone atau linezolid";;https://tse.mm.bing.net/th?q=Actifed%20Plus%20Expectorant%20Hijau%20obat%20kemasan
52;Siladex Cough Cold;Batuk Dan Pilek;Untuk meringankan batuk pilek;Cair 100 Ml, Cair 30 Ml, Cair 60 Ml;9500;"Cair 30 Ml: Rp9.500; Cair 60 Ml: Rp16.500; Cair 100 Ml: Rp21.000";Sesudah makan;"Dewasa dan anak-anak diatas 12 tahun: 3 kali sehari 2 sendok takar 10 ml; Anak-anak 6-12 tahun: 3 kali sehari 1 sendok takar 5 ml Anak-anak 4-6 tahun 3 kali sehari 12 sendok takar 2.5 ml";"Gangguan gastrointestinal; mengantuk; pusing; penglihatan kabur; mulut kering; dada terasa sesak";Tidak boleh diberikan secara bersamaan dengan obat antidepresan golongan MAOI;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Dextromethorphan HBr 7.5 mg; Pseudoephedrine HCI 15 mg; Doxylamine Succinate 2 mg";"Anak-anak kurang dari 6 tahun; Konsumsi alkohol; anak di bawah usia 4 tahun; hipersensitivitas; inhibitor monoamine oxidase; olahraga berat dalam cuaca panas";;https://tse.mm.bing.net/th?q=Siladex%20Cough%20Cold%20obat%20kemasan
53;Silex;Batuk Dan Pilek;SILEXdapat membantu meredakan batuk berdahak, membantu melegakan tenggorokan dan pilek;All;85000;All: Rp85.000;Kocok dahulu sebelum diminum. Dikonsumsi sesudah makan;"Dewasa: 1 sendok makan 15 ml, 3-4 kali sehari; Anak-anak: 1 sendok takar 5 ml, 3-4 kali sehari";"Jika dikonsumsi sesuai aturan_pakai dan dosis yang dianjurkan, Silex Sirup 100 Ml umumnya aman; Namun, pada beberapa orang, kandungan thyme di dalam Silex Sirup 100 Ml dapat menimbulkan efek_samping berupa gangguan sakit perut, sakit kepala, atau pusing";"Silex Sirup 100 Ml mengandung sejumlah bahan herbal. Belum diketahui interaksi pasti jika obat ini digunakan Bersama suplemen, obat, atau produk herbal lain; Namun, thyme yang terkandung di dalamnya bisa meningkatkan risiko terjadinya perdarahan jika digunakan bersama obat pengencer darah, Selalu konsultasikan dengan dokter jika Anda berencana mengonsumsi Silex Sirup 100 Ml bersama obat lain";Dalam kasus yang jarang terjadi, sejumlah efek_samping ringan tersebut bisa menjadi parah jika dikonsumsi dalam jangka panjang tanpa resep dokter;"Thymus vulgaris L. herba extract 41.7 mg; Primula veris L. radix extract 10 mg; Althaeae officinalis L. folium extract 58.33 mg; Drosera ramentaceae herba extract 25 mg; Thymus serpyllum L.s.I. herba extract 35 mg; Ol. Eucalypti; Ol. Anisi; Menthol; Ol. Menthae; Sodium saccharin";Tidak boleh digunakan pada pasien yang telah diketahui memiliki alergi terhadap kandungan obat Silex Sirup;;https://tse.mm.bing.net/th?q=Silex%20obat%20kemasan
54;Demacolin Cair;Flu;Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;All;18500;All: Rp18.500;Sebelum atau sesudah makan;"Anak-anak 2 - 5 tahun: 1 sendok takar 5 ml, 3 kali sehari; Anak-anak 6 - 12 tahun: 2 sendok takar 5 ml, 3 kali sehari";"Mengantuk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardi; aritmia ventrikuler; mulut kering; palpitasi; sulit berkemih; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan jangka panjang menyebabkan kerusakan hati;"Paracetamol 120 mg; Pseudoephedrine HCl 7.5 mg; Chlorpheniramine maleate 1 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat";;https://tse.mm.bing.net/th?q=Demacolin%20Cair%20obat%20kemasan
55;Vicks Formula 44 Anak-anak;Batuk;Untuk meringankan batuk;All;23000;All: Rp23.000;sesudah makan;"2-6 tahun: 1 sendok takar 5 mL; 6-12 tahun: 2 sendok takar 10 mL; 12 tahun ke atas: 4 sendok takar 20 mL";"Pada dosis besar dapat terjadi depresi saluran pernafasan; Jarang menimbulkan rasa mengantuk, mual atau pusing";Dapat terjadi rangsangan susunan saraf pusat dan depresi pernafasan yang berat pada pemberian bersamaan dengan penghambat MAO;hindari penggunaan jangka panjang;"Dextromethorphan Hydrobromide 3.5 mg; Guaifenesin (Glyceryl Guaiacolate) 50 mg";Penderita hipersensitif, penyakit hati atau kegagalan pernafasan;;https://tse.mm.bing.net/th?q=Vicks%20Formula%2044%20Anak-anak%20obat%20kemasan
56;OB Herbal Anak-anak;Batuk;Membantu meredakan batuk berdahak dan melegakan tenggorokan;All;16500;All: Rp16.500;Diberikan sesudah makan. Kocok dahulu sebelum diminum;Anak-anak 6-12 tahun: 3 x 2 sendok takar 10 ml;OB Herbal Junior Sirup umumnya jarang menimbulkan efek_samping jika digunakan sesuai dengan aturan pemakaianya;"Peningkatan risiko terjadinya memar atau perdarahan jika digunakan dengan nifedipine, serta antikoagulan atau antiplatelet, seperti phenprocoumon atau warfarin; Peningkatan risiko terjadinya efek_samping dari losartan, cyclosporine, dan metronidazole; Peningkatan risiko penurunan tekanan darah secara berlebihan jika digunakan dengan antagonis kalsium, antihipertensi, atau diuretik; Peningkatan risiko penurunan kadar gula darah secara berlebihan jika digunakan dengan obat diabetes";Tidak untuk digunakan lebih dari 6 minggu;"Zingiberis officinalle Rhizoma 2.2 g; Menthae arvensidis Folium 2.173 g; Phyllanthus niruri Herba 0.5 g; Kaempferiae galanga Rhizoma 0.5 g; Citrus aurantifolii Fructus 0.5 g; Thymus vulgaris Herba 0.5 g; Myristicae fragransis Semen 0.25 g; Glycyrrhizae glabra Radix 0.178 g; Madu (Mel Depuratum) 0.2 g; Succus Licorice Liquid 20 mg; Oleum Menthae Piperitae 0.02 mg";"Pada pasien hipertensi; hepatitis kronik; gangguan ginjal berat; diabetes";;https://tse.mm.bing.net/th?q=OB%20Herbal%20Anak-anak%20obat%20kemasan
57;Laserin Madu;Batuk;Membantu meredakan batuk dan melegakan tenggorokan;Cair 100 Ml / Box, Cair 30 Ml / Box, Cair 30 Ml / Pcs, Cair 60 Ml / Box;7000;"Cair 30 Ml / Pcs: Rp7.000; Cair 30 Ml / Box: Rp25.000; Cair 60 Ml / Box: Rp16.500; Cair 100 Ml / Box: Rp23.500";berikan sesudah makan;Anak-Anak: 3 x sehari 1-2 sendok teh 5-10 ml;;;hindari penggunaan jangka panjang;"Cinnamomum burmanii cortex 85.7 mg; Piper betle folium 148.2 mg; Syzygium aromaticum llos 10.7 mg; Zingiber officinale rhizome 612.5 mg; PEuphorbia hirta herba 3.5 mg; Amomi compacti fructus 5.3 mg; Abrus precatorius folium 17.8 mg; Hibiscus tilliaceus folium 1.8 mg; Mentha arvensis folium 0.6 mg; Glycyrrhiza glabra radix ekstrak 5.3 mg; Mel Depuratum 267.8 mg; Gula; Sodium Benzoat Anise Oil; Ess. Sarsaparilla";Pada pasien yang memiliki riwayat hipersensitifitas terhadap kandungan komposisi pada produk ini;;https://tse.mm.bing.net/th?q=Laserin%20Madu%20obat%20kemasan
58;Bisolvon Kids;Batuk;BISOLVON bekerja sebagai mukolitik untuk meredakan batuk berdahak;All;53500;All: Rp53.500;berikan sesudah makan;"Dewasa dan Anak 10 tahun: 3 x 10 ml per hari; Anak 5 - 10 tahun: 3 x 5 ml per hari; Anak 2 - 5 tahun: 2 x 5 ml per hari";"Reaksi sensitif kekebalan tubuh; Gangguan sistem pencernaan; Gangguan kulit seperti ruam; Gangguan pernapasan";Tidak ada laporan interaksi klinis yang tidak menyenangkan dengan obat ini;Jangan menggunakan obat lebih dari 14 hari tanpa anjuran dari dokter;amine hydrochloride 4 mg;BISOLVON tidak boleh digunakan oleh penderita yang hipersensitif terhadap bromheksin HCl atau komponen lain dalam formula. Pada kasus tertentu yang sifatnya jarang yaitu kondisi dimana terdapat ketidakcocokan dengan zat tambahan yang terkandung dalam produk obat tersebut penggunaan produk dikontraindikasikan;;https://tse.mm.bing.net/th?q=Bisolvon%20Kids%20obat%20kemasan
59;Bisolvon Solution;Batuk;BISOLVON bekerja sebagai mukolitik untuk meredakan batuk berdahak;All;102000;All: Rp102.000;berikan sesudah makan;"Anak 5 - 10 tahun: 3 x 2 ml per hari; Anak 2 - 5 tahun: 2 x 2 ml per hari";"Reaksi sensitif kekebalan tubuh; Gangguan sistem pencernaan; Gangguan kulit seperti ruam; Gangguan pernapasan";Tidak ada laporan interaksi klinis yang tidak menyenangkan dengan obat ini;Jangan menggunakan obat lebih dari 14 hari tanpa anjuran dari dokter;amine hydrochloride 2 mg;BISOLVON tidak boleh digunakan oleh penderita yang hipersensitif terhadap bromheksin HCl atau komponen lain dalam formula. Pada kasus tertentu yang sifatnya jarang yaitu kondisi dimana terdapat ketidakcocokan dengan zat tambahan yang terkandung dalam produk obat tersebut penggunaan produk dikontraindikasikan;;https://tse.mm.bing.net/th?q=Bisolvon%20Solution%20obat%20kemasan
60;Termorex Plus;Batuk Dan Flu;Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;Cair 30 Ml, Cair 60 Ml;10500;"Cair 30 Ml: Rp10.500; Cair 60 Ml: Rp16.500";sebelum atau sesudah makan;"2-5 tahun: 1 sendok takar 3 x sehari; 6-12 tahun: 2 sendok takar 3 x sehari";"Mengantuk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardi; aritmia ventrikuler; mulut kering; palpitasi; sulit berkemih; Penggunaan dosis besar dan jangka panjang dapat menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;potensi terjadinya kerusakan hati sangat tinggi terutama pada pemakaian jangka panjang;"Paracetamol 120 mg; Pseudoephedrine HCI 7.5 mg; Guaifenesin 25 mg; Chlorphenamine Maleate 0.5 mg";"Penderita yang hipersensitif terhadap komponen obat ini; Penderita dengan gangguan fungsi hati yang berat";;https://tse.mm.bing.net/th?q=Termorex%20Plus%20obat%20kemasan
61;Nellco Special PE Anak-anak;Batuk Dan Flu;Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk;All;22000;All: Rp22.000;Kocok Dahulu Sebelum Dipakai;Anak-anak 6-12 tahun: sehari 3 x 10 ml;"Mengantuk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardi; aritmia; mulut kering; palpitasi; retensi urin; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;pada penggunaan jangka panjang, dapat meningkatkan resiko kerusakan ginjal termasuk gagal ginjal akut;"Succus Liquiritiae 100 mg; Phenylephrine HCI 1 mg; Chlorphenamine Maleate 1 mg; Ammonium Chloride 40 mg; Paracetamol 120 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita dengan gangguan jantung dan diabetes mellitus; Penderita dengan gangguan fungsi hati yang berat; Penderita Hipersensitif terhadap komponen obat ini";;https://tse.mm.bing.net/th?q=Nellco%20Special%20PE%20Anak-anak%20obat%20kemasan
62;OBH Combi Anak Batuk + Flu;Batuk Dan Flu;Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin;All;18000;All: Rp18.000;dikonsumsi sesudah makan;"umur 2-5 tahun: sehari 3 x 5 ml; umur 6-12 tahun: sehari 3 x 10 ml";"Mengantuk; gangguan pencernaan; insomnia; gelisah; eksitasi; tremor; takikardia; aritmia; mulut kering; palpitasi; retensi urine; Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati";Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"succus Liquiritiae 100 mg; Paracetamol 200 mg; Ammonium Chloride 50 mg; Pseudoephedrine HCL 7.5 mg; Chlorpheniramine Maleate 1 mg";"Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO; Tidak boleh melebihi dosis yang dianjurkan; Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut; Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan; Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing; Penderita dengan gangguan jantung dan diabetes mellitus; Penderita dengan gangguan fungsi hati yang berat; Penderita Hipersensitif terhadap komponen obat ini";;https://tse.mm.bing.net/th?q=OBH%20Combi%20Anak%20Batuk%20%2B%20Flu%20obat%20kemasan
